Home Team,Away Team,Year,HomeGoals,AwayGoals,Total Goals
Sudan,Egypt,1957,1,2,3
Egypt,Ethiopia,1957,4,0,4
United Arab Republic,Ethiopia,1959,4,0,4
Sudan,Ethiopia,1959,1,0,1
United Arab Republic,Sudan,1959,2,1,3
Ethiopia,Tunisia,1962,4,2,6
United Arab Republic,Uganda,1962,2,1,3
Tunisia,Uganda,1962,3,0,3
Ethiopia,United Arab Republic,1962,4,2,6
Ghana,Sudan,1963,3,0,3
United Arab Republic,Ethiopia,1963,3,0,3
Sudan,Nigeria,1963,4,0,4
United Arab Republic,Sudan,1963,2,2,4
Ghana,Tunisia,1963,1,1,2
Ethiopia,Tunisia,1963,4,2,6
Ghana,Ethiopia,1963,2,0,2
United Arab Republic,Nigeria,1963,6,3,9
Ghana,Ivory Coast,1965,4,1,5
Ghana,Tunisia,1965,3,2,5
Ivory Coast,Congo-Léopoldville,1965,3,0,3
Senegal,Ivory Coast,1965,0,1,1
Senegal,Ethiopia,1965,5,1,6
Senegal,Tunisia,1965,0,0,0
Tunisia,Ethiopia,1965,4,0,4
Ghana,Congo-Léopoldville,1965,5,2,7
Congo-Kinshasa,Ghana,1968,1,0,1
Ivory Coast,Ethiopia,1968,1,0,1
Ethiopia,Congo-Kinshasa,1968,2,3,5
Ghana,Congo-Brazzaville,1968,3,1,4
Congo-Kinshasa,Senegal,1968,2,1,3
Senegal,Congo-Brazzaville,1968,2,1,3
Ghana,Congo-Kinshasa,1968,2,1,3
Ghana,Senegal,1968,2,2,4
Ethiopia,Algeria,1968,3,1,4
Ivory Coast,Uganda,1968,2,1,3
Algeria,Uganda,1968,4,0,4
Ethiopia,Ivory Coast,1968,1,0,1
Ivory Coast,Algeria,1968,3,0,3
Ethiopia,Uganda,1968,2,1,3
Congo-Kinshasa,Congo-Brazzaville,1968,3,0,3
United Arab Rep.,Ghana,1970,1,1,2
Sudan,Ghana,1970,1,0,1
United Arab Rep.,Ivory Coast,1970,3,1,4
United Arab Rep.,Sudan,1970,1,2,3
Ivory Coast,Ghana,1970,1,2,3
United Arab Rep.,Congo-Kinshasa,1970,1,0,1
Guinea,Ghana,1970,1,1,2
Congo-Kinshasa,Guinea,1970,2,2,4
United Arab Rep.,Guinea,1970,4,1,5
Ghana,Congo-Kinshasa,1970,2,0,2
Sudan,Cameroon,1970,2,1,3
Ivory Coast,Ethiopia,1970,6,1,7
Ivory Coast,Sudan,1970,1,0,1
Cameroon,Ethiopia,1970,3,2,5
Sudan,Ethiopia,1970,3,0,3
Cameroon,Ivory Coast,1970,3,2,5
Congo,Mali,1972,3,2,5
Cameroon,Zaire,1972,5,2,7
Zaire,Mali,1972,3,4,7
Cameroon,Congo,1972,0,1,1
Congo,Sudan,1972,4,2,6
Morocco,Zaire,1972,1,1,2
Zaire,Congo,1972,2,0,2
Morocco,Sudan,1972,1,1,2
Congo,Morocco,1972,1,1,2
Cameroon,Mali,1972,1,1,2
Togo,Kenya,1972,1,1,2
Cameroon,Togo,1972,2,0,2
Mali,Kenya,1972,1,1,2
Mali,Togo,1972,3,3,6
Cameroon,Kenya,1972,2,1,3
Zaire,Sudan,1972,1,1,2
Congo,Guinea,1974,1,1,2
Zaire,Zambia,1974,2,0,2
Zaire,Zambia,1974,2,2,4
Congo,Egypt,1974,0,4,4
Congo,Zambia,1974,2,4,6
Egypt,Zaire,1974,2,3,5
Zaire,Mauritius,1974,4,1,5
Congo,Zaire,1974,2,1,3
Zambia,Ivory Coast,1974,1,0,1
Congo,Mauritius,1974,2,0,2
Zaire,Guinea,1974,2,1,3
Zambia,Uganda,1974,1,0,1
Egypt,Ivory Coast,1974,2,0,2
Ivory Coast,Uganda,1974,2,2,4
Egypt,Zambia,1974,3,1,4
Egypt,Uganda,1974,2,1,3
Guinea,Mauritius,1974,2,1,3
Zaire,Sudan,1976,1,1,2
Guinea,Nigeria,1976,1,1,2
Morocco,Egypt,1976,2,1,3
Guinea,Morocco,1976,1,1,2
Guinea,Egypt,1976,4,2,6
Nigeria,Egypt,1976,3,2,5
Morocco,Nigeria,1976,3,1,4
Morocco,Nigeria,1976,2,1,3
Morocco,Zaire,1976,1,0,1
Nigeria,Zaire,1976,4,2,6
Morocco,Sudan,1976,2,2,4
Ethiopia,Uganda,1976,2,0,2
Egypt,Guinea,1976,1,1,2
Egypt,Uganda,1976,2,1,3
Nigeria,Sudan,1976,1,0,1
Guinea,Uganda,1976,2,1,3
Ethiopia,Egypt,1976,1,1,2
Ethiopia,Guinea,1976,1,2,3
Nigeria,Tunisia,1978,2,0,2
Uganda,Nigeria,1978,2,1,3
Ghana,Tunisia,1978,1,0,1
Uganda,Morocco,1978,3,0,3
Congo,Tunisia,1978,0,0,0
Morocco,Congo,1978,1,0,1
Tunisia,Uganda,1978,3,1,4
Ghana,Uganda,1978,2,0,2
Morocco,Tunisia,1978,1,1,2
Ghana,Upper Volta,1978,3,0,3
Zambia,Nigeria,1978,0,0,0
Nigeria,Ghana,1978,1,1,2
Zambia,Upper Volta,1978,2,0,2
Nigeria,Upper Volta,1978,4,2,6
Ghana,Zambia,1978,2,1,3
Uganda,Congo,1978,3,1,4
Nigeria,Algeria,1980,3,0,3
Morocco,Egypt,1980,2,0,2
